name,genre,summary,director,release_year,image_url
Voiceless,Thriller,The Hausa feature film is a story of love and the power of dreams in the midst of the violence and terrorism in Nigeria's northeast and is based on eyewitness account. It follows the story ...                See full summary »,Robert Peters,2020,"https://m.media-amazon.com/images/M/MV5BZDFmZDMwNDMtMTBiMC00NGJhLTlkNDEtY2IxYjg5NzkxMmQwXkEyXkFqcGdeQXVyMzcwMTQ2NDM@._V1_UX67_CR0,0,67,98_AL_.jpg"
Love Is War,Drama,Sparks fly as a husband and wife both win the nominations as the candidates of the two major parties in an upcoming gubernatorial election. Will their marriage survive this unprecedented event?,Omoni Oboli,2019,"https://m.media-amazon.com/images/M/MV5BYmE0ZGE2MTAtZDY0YS00YjQyLTk2YTEtZTU0NTBlODE2ZDY0XkEyXkFqcGdeQXVyMjE2NzE4OTQ@._V1_UY98_CR1,0,67,98_AL_.jpg"
Miz Behaviour,Comedy,A generous but condescending woman is forced to learn a lesson about real friendship.,Biodun Stephen,2020,"https://m.media-amazon.com/images/M/MV5BOWU5ZDI0MTgtMTczZi00NWUxLTgzMTktM2RlMDkzYWY1YzQ3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR53,0,67,98_AL_.jpg"
The Bling Lagosians,Drama,"As each member of the Holloway family works to solve their problems, they prepare for Mopelola's party, which will clearly become the year's biggest society event. But the buzz about the ...                See full summary »",Bolanle Austen-Peters,2019,"https://m.media-amazon.com/images/M/MV5BOTU5MTlhN2EtYjEwNy00Zjg3LWI3MWQtN2EzMWMyMGQ4NjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg"
This Lady Called Life,Drama,"Abandoned by her family, young single mother Aiye struggles to survive but stays focused on her dream of becoming an elite chef.",Kayode Kasum,2020,"https://m.media-amazon.com/images/M/MV5BZDBhMmZiYWItMzBhMi00YzRmLWFhYTAtOTdlOTM5NjQ5NDBlXkEyXkFqcGdeQXVyMTA3Nzc2ODU5._V1_UY98_CR1,0,67,98_AL_.jpg"
Prophetess,"Comedy, Drama","Ajoke, a local Spiritualist, makes a bogus prediction about a football match which sets off a chain of events that escalate beyond her control. With her life threatened by several aggrieved...                See full summary »",Niyi Akinmolayan,2021,"https://m.media-amazon.com/images/M/MV5BMDQ2ODFiOGMtNzU0NC00NzY4LThiYTctZWRmNTUyOTExYTg5XkEyXkFqcGdeQXVyMTMxNzM1NzU0._V1_UX67_CR0,0,67,98_AL_.jpg"
Cold Feet,Drama,"A surprise trip to an exotic resort in celebration of their fifth anniversary turns out to be a disaster for a man and his wife, Omoye, as they run into a mutual friend - Omoye's old love ...                See full summary »",Moses Inwang, 2020,"https://m.media-amazon.com/images/M/MV5BYjlmM2ZhMmQtYTExZS00YWExLWJlODktY2VkOWIxMGYzOTQwXkEyXkFqcGdeQXVyODMyMDA2MjQ@._V1_UY98_CR15,0,67,98_AL_.jpg"
Blue,Drama,"Blue tells the poignant story of somto and Ikenna coming to terms with the blows life has dealt them, the transforming power of sharing burdens, getting help from the strangest places and how they help each other heal.",God'spower Okoh, 2020,"https://m.media-amazon.com/images/M/MV5BMmU5OTNkNmItOWUwYi00MGUwLTg3ODctOTM5MTI4ZmI2YTZmXkEyXkFqcGdeQXVyNjc1MjE2NTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
Day of Destiny,"Adventure, Drama, Sci-Fi",The film is based on the mysterious adventures of two teenage brothers who travel back in time by 20 years to change their fortunes of the family.,Akay Ilozobhie,2021,"https://m.media-amazon.com/images/M/MV5BZDcwNzhlZjYtMWUwYS00N2M1LTkzZDUtMzUyZjIwNDM3YzMwXkEyXkFqcGdeQXVyMzAzMzkzNTU@._V1_UY98_CR5,0,67,98_AL_.jpg"
Juju Stories,"Drama, Fantasy, Horror","A three-part anthology film exploring juju (magical) stories rooted in Nigerian folklore and urban legend, written and directed by the Nigerian new wave cinema collective known as Surreal16.",Abba Makama,2021,"https://m.media-amazon.com/images/M/MV5BZjJhYTI3ZGUtMjc1OC00Nzc0LWEzYTEtNGMyMmZmM2QzM2EyXkEyXkFqcGdeQXVyMjI5NDAyMTE@._V1_UY98_CR1,0,67,98_AL_.jpg"
Christmas in Miami,Comedy,Christmas in Miami is the fourth instalment of the AKPOS Nollywood film series created by renowned Nigerian comedian AYO MAKUN popularly known as 'AY'. Following on from his rib cracking ...                See full summary »,Robert Peters,2021,"https://m.media-amazon.com/images/M/MV5BZmMwOGQ2MzUtYjYwNi00NmQ2LWFiMmItNGEwN2Q5NGVlODIwXkEyXkFqcGdeQXVyMTMzMjI0NjU0._V1_UY98_CR5,0,67,98_AL_.jpg"
Who's the Boss,"Comedy, Romance","This narrates the story of a Young and ambitious employee who tries to work her way to the top, but keeps being de-valued. She decided to take a bold step which ends her in a position she ...                See full summary »",Chinaza Onuzo,2020,"https://m.media-amazon.com/images/M/MV5BMGMzZTA3ZmUtNzNiOC00MDczLWFiNTgtNzM1M2M1YzY3OWNkXkEyXkFqcGdeQXVyNTMzODgyMDQ@._V1_UY98_CR15,0,67,98_AL_.jpg"
Tainted Canvas,"Biography, Drama",A harrowing tale about the effects of child prostitution in adult life.,Segilola Ogidan,2020,"https://m.media-amazon.com/images/M/MV5BMGMwNzA1MDYtNjVjMC00YWYzLTkxODctZWQ3N2E3OTY5Y2U3XkEyXkFqcGdeQXVyNDQ1NTc0NDE@._V1_UX67_CR0,0,67,98_AL_.jpg"
April Showers,"Drama, Romance",,Richards Omos-Iboyi, 2021,"https://m.media-amazon.com/images/M/MV5BZWFlMzYyYjYtNjg0MC00YTA1LWE5ZGMtZmQzOWY1MTA1ZWJmXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
